,Total Tests,Significant Age Correlations,Significant CHADS-VASc Correlations,"Good Correlations (r>0.02, p<0.05)",Age Correlation Range,Risk Gradient Range (%)
OLD,9,0,0,0,N/A,1.8 to 6.0
NEW,17,3,2,1,-0.003 to 0.026,0.0 to 1.1
