dataset,event_definition,n_events,total_n,age_correlation,age_p_value,age_sig,risk_gradient,low_rate,moderate_rate,high_rate
OLD,stroke_1Y=1,8748,128590,,,N/A,5.4,4.2,5.0,9.6
OLD,has_stroke_date,15976,128590,,,N/A,6.0,9.2,10.9,15.2
OLD,stroke_1Y=1_AND_date,8748,128590,,,N/A,5.4,4.2,5.0,9.6
NEW,stroke_1Y=1,3540,136695,-0.001,0.7892,ns,0.0,2.5,2.6,2.6
NEW,has_stroke_date,24081,136695,0.003,0.2918,ns,0.3,17.4,17.6,17.7
NEW,stroke_1Y=1_AND_date,3540,136695,-0.001,0.7892,ns,0.0,2.5,2.6,2.6
NEW,any_stroke_1Y,24081,136695,0.003,0.2918,ns,0.3,17.4,17.6,17.7
