Statistic,Value
Total Patients,122895.0
Events (Strokes),10763.0
Censored,112132.0
Median Follow-up (days),844.0
Mean Follow-up (days),1259.7040969933682
Min Follow-up (days),1.0
Max Follow-up (days),6908.0
Event Rate (%),8.757882745433093
